ID,DEVICETYPE,PLATFORM_ID,BIDREQUESTIP,USERPLATFORMUID,USERCITY,USERZIPCODE,USERAGENT,PLATFORMTYPE,CHANNELTYPE,URL,KEYWORDS,TAXONOMY,IS_HCP
1011,Desktop,7,199.36.244.24,61418486-5ff1-4a54-8a76-5af0b63de903,Las Vegas,89122,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36",Online Medical Journal,Website,https://www.cureus.com/articles/89176-blunt-cardiac-injury-in-patients-with-sternal-fractures,Medicine|Transplantation|Clinical|Trauma|Total|Dermatology|Oncology|Ophthalmology|Orthopedics|Emergency Medicine|Aneurysm|General|Surgical|Oral|Gastroenterology|Rheumatology|Intensive Care|Blunt Cardiac Injury|Cardiovascular|Cardiac|False|Male|Anesthesiology|Pediatrics|Critical Care|General Practice|Specialties|Technology|Urology|Aortic Aneurysm|Myocardial Infarction|Ischemic Heart Disease|Pathology|Neurology|Physical Medicine & Rehabilitation|Preventive Medicine|Surgery|Health|Rehabilitation|Dissection|Dentistry|Large|Otolaryngology|Hematoma|Arrhythmia|Diagnosis|Small|Female|Nuclear Medicine|Atrial Fibrillation|Heart Failure|Hemothorax|Resuscitation|Preventive|Cardiology|Neurological Surgery|Psychiatry,,0
1012,Desktop,2,96.241.227.102,1686c3f5-0026-441b-8802-a83cf7152ec7,La Plata,20646,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36 Edg/112.0.1722.39",Online Medical Journal,Website,https://www.clinicaladvisor.com/home/features/clinical-challenge/pain-tingling-and-limited-range-of-motion-after-a-cat-bite-to-the-finger/,Family Practice|Drainage|Clinical|Dermatology|Ophthalmology|Medicine|Allergic|General|Diagnosis|Neurology|Hepatology|Health|Cardiovascular|Surgical|Psychiatry|Oral|Urology|Cardiology|Gastroenterology|Orthopedics|Erythema|Arthritis|Asthma|Cellulitis|Pediatrics|Surgery|False|Oncology|Rheumatology,,0
1013,Desktop,7,162.82.0.67,6eb62860-d9bd-4c74-bfe7-bb709afa96ac,Dearborn,48128,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36",Online Medical Journal,Website,https://www.cureus.com/articles/54268-bilateral-pulmonary-emboli-on-dabigatran,Pharmacology|Resuscitation|General Practice|Physicians|Health|Clinical|Dermatology|Neurological Surgery|Ophthalmology|Surgery|Transplantation|Sinus|Diagnosis|Technology|Anesthesiology|Oncology|Otolaryngology|Preventive Medicine|Specialties|Female|Orthopedics|Pediatrics|Physical Medicine & Rehabilitation|Psychiatry|Medicine|Rehabilitation|Dissection|General|Controlled|Cardiac|Dentistry|Surgical|False|Cardiology|Neurology|Critical Care|Trauma|Nuclear Medicine|Rheumatology|Atrial Fibrillation|Emergency Medicine|Small|Pathology|Total|Male|Urology|Hemorrhage|Preventive|Large|Tachycardia|Oral|Gastroenterology,,0
1014,Desktop,2,152.16.191.106,81a7ebbf-659d-4c7c-89c6-3aab367208f0,Durham,27705,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36 Edg/111.0.1661.62",Online Medical Journal,Website,https://www.renalandurologynews.com/home/news/urology/prostate-cancer/kegel-exercises-after-prostate-surgery-called-into-question/,Health|Medicine|Chronic|Total|Cardiology|Controlled|Clinical|Ophthalmology|Hospitals|Anemia|Gastroenterology|Neurology|Oncology|Transplantation|Female|Male|Dermatology|Rehabilitation|Cardiovascular|Premature|Reproductive|Rheumatology|Surgery|General|False|Nephritis|Psychiatry|Urology,,0
1015,Desktop,7,24.231.218.75,b7b565e2-0cf3-461b-82b4-97abc8d73ac8,Oscoda,48750,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36",Online Medical Journal,Website,https://www.cureus.com/articles/64316-the-role-of-steroids-in-the-management-of-covid-19-infection,Critical Care|Autoimmune Diseases|Technology|Infected|Cardiology|Dermatology|Gastroenterology|Otolaryngology|Surgery|Trauma|Orthopedics|Pediatrics|Arthritis|Autoimmune|General|Acquired|Preventive|Anesthesiology|Oncology|Preventive Medicine|Emergency Medicine|Pancreas|General Practice|Clinical|Intestine|Intensive Care|Shock|Lung Diseases|Asthma|Allergic|Cardiac|Surgical|Large|Ophthalmology|Resuscitation|Specialties|Multiple Sclerosis|Rehabilitation|Transplantation|Diagnosis|Small|Oral|Physical Medicine & Rehabilitation|Psychiatry|Urology|Medicine|Hemoptysis|False|Chronic|Neurological Surgery|Nuclear Medicine|Lung|Health|Controlled|Synthetic|Dentistry|Pathology|Neurology|Rheumatology,,0
1016,Mobile,2,174.247.181.59,232f6d0b-745b-483a-9237-f6f3f4f8f698,Portland,97202,"Mozilla/5.0 (iPhone; CPU iPhone OS 16_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.3 Mobile/15E148 Safari/604.1",Online Medical Journal,Website,https://www.pulmonologyadvisor.com/home/decision-support-in-medicine/pulmonary-medicine/neuromuscular-disorders-affecting-the-thorax-myasthenia-gravis/,Asthma|Female|Rheumatoid|Pathology|Neurology|Pulmonary Medicine|Critical Care|Oral|Tuberculosis|Induced|Intubation|Total|Cardiology|Dermatology|Psychiatry|Medicine|Bradycardia|Blood Loss|Male|Lung|General|Diagnosis|Operative|Genetic|Small|Chronic|Thymectomy|Congenital|Arthritis|Amyotrophic Lateral Sclerosis|Intravenous|Clinical|Gastroenterology|Ophthalmology|Surgery|Urology|Intensive Care|Autoimmune|Surgical|False|Oncology|Rheumatology,,0
1017,Desktop,2,66.97.189.250,9b58e8c9-ebb2-4945-90ec-0603ad7939f6,Billerica,1821,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36",Online Medical Journal,Website,https://www.empr.com/drug/miralax/,Health|Metabolic|Cardiology|Dermatology|Neurology|Rheumatology|Heart Failure|False|Pediatrics|Urology|Pharmacology|Physicians|Clinical|Diagnosis|Child|Oral|Gastroenterology|Oncology|Ophthalmology|Medicine|Cardiovascular|Endocrine|Psychiatry|Technology,,0
1018,Desktop,5,198.205.17.200,f8c60b53-203f-421a-ab33-26beffa6c866,Dallas,75238,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36",Online Medical Journal,Website,https://fpnotebook.com/search.htm?qu=Neer%27s+test,the|family practice|physicians|,,0
1019,Desktop,2,71.66.42.242,879ba94c-c989-4a0c-b20c-3157c6a42b93,Columbus,43203,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36",Online Medical Journal,Website,https://www.clinicaladvisor.com/home/dermatologic-look-alikes/red-rashes-on-the-lower-legs/2/,Hemoptysis|Oral|Rheumatology|Cardiovascular|Small|Rheumatoid|Oncology|Ophthalmology|Clinical|Cardiology|Hemorrhage|Health|Biopsy|Hepatology|Hypersensitivity|Refractory|False|Chronic|Psychiatry|Urology|Medicine|Neutrophils|Erythema|Asthma|Diagnosis|Neurology|Orthopedics|Pediatrics|General|Dermatology|Gastroenterology|Surgery|Hematuria|Disseminated Intravascular Coagulation|Arthritis,,0
1020,Mobile,2,174.213.209.40,6f7d3f17-e2af-4822-ba50-6657ee4f1b81,Kansas City,64113,"Mozilla/5.0 (iPhone; CPU iPhone OS 16_4 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) GSA/262.0.527316235 Mobile/15E148 Safari/604.1",Online Medical Journal,Website,https://www.clinicaladvisor.com/home/features/clinical-challenge/pain-tingling-and-limited-range-of-motion-after-a-cat-bite-to-the-finger/,Family Practice|Drainage|Clinical|Dermatology|Ophthalmology|Medicine|Allergic|General|Diagnosis|Neurology|Hepatology|Health|Cardiovascular|Surgical|Psychiatry|Oral|Urology|Cardiology|Gastroenterology|Orthopedics|Erythema|Arthritis|Asthma|Cellulitis|Pediatrics|Surgery|False|Oncology|Rheumatology,,0
1021,Desktop,2,181.177.81.176,0728d095-3115-4144-980e-69874219de15,New York,10901,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.111 Safari/537.36 moatbot",Online Medical Journal,Website,https://www.clinicaladvisor.com/home/features/clinical-challenge/pain-tingling-and-limited-range-of-motion-after-a-cat-bite-to-the-finger/,Family Practice|Drainage|Clinical|Dermatology|Ophthalmology|Medicine|Allergic|General|Diagnosis|Neurology|Hepatology|Health|Cardiovascular|Surgical|Psychiatry|Oral|Urology|Cardiology|Gastroenterology|Orthopedics|Erythema|Arthritis|Asthma|Cellulitis|Pediatrics|Surgery|False|Oncology|Rheumatology,,0
1022,Desktop,3,108.217.77.216,6d0996e0-b6f4-4bb8-ae40-13ee2ae10706,,912031130,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.71 Safari/537.36",Online Medical Journal,Website,https://globalrph.com/medcalcs/protein-requirements-daily/,Gastrointestinal Tract|Female|Oncology|Medicine|Small|Metabolic|Elderly|Health|False|Trauma|Total|Lung|Male|Aged|Liver|Drug Therapy|Dental,2084N0400X,1
1023,Desktop,9,66.249.66.14,821591df-053a-4312-9fed-5a7233063058,,,"Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.5563.146 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)",Online Medical Journal,Website,https://www.2minutemedicine.com/an-implantable-system-overcomes-orthostatic-hypotension-in-a-patient-with-multiple-system-atrophy/,Overweight|Physicians|Rehabilitation|Hypotension|Epidural|Medicine|Chronic|Total|Specialties|Small|Nervous System|Hospitals|Clinical|Cardiology|Surgical|Health|False|Large|Neurology|Surgery,,0
1024,Desktop,7,165.225.10.244,be890702-4458-46fb-80b4-39b9235d4bae,Denver,80211,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36",Online Medical Journal,Website,https://www.cureus.com/articles/36701-rifampin-induced-acute-intravascular-hemolysis-leading-to-heme-pigment-related-kidney-injury,small|nephrology|radiology|preventive medicine|critical care|internal medicine|oncology|forensic medicine|general|specialties|induced|vomiting|trauma|pain|disease|peritonitis|tuberculosis|health|pain management|acos|cardiology|preventive|the|clinical|hematology|proton therapy|dermatology|transplantation|pediatrics|urology|biopsy|diabetes|cardiac|surgery|,,0
1025,Mobile,6,107.77.197.130,9bfe23a4-aaf3-482f-be0b-636413863f19,,,"Mozilla/5.0 (iPhone; CPU iPhone OS 16_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.4 Mobile/15E148 Safari/604.1",Online Learning Portal,Website,https://www.goodrx.com/health-topic/urology/varicocele,Small|Total|Urology|Seasonal|General|Thyroid Cancer|Female|Autoimmune|Asthma|Large|Anesthesia|Atrial Fibrillation|Hematuria|Diagnosis|Allergens|Health|Surgical|Male|Urogenital|Medicine|Flu|Delivery|Dermatology|Pediatrics|Digestive Tract|Infertility|False|Surgery,,0
1026,Desktop,2,129.176.151.15,d9f89efd-0f02-4844-9719-098302c545df,Rochester,55901,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 Edg/113.0.1774.35",Online Medical Journal,Website,https://www.thecardiologyadvisor.com/home/topics/chd/oxygen-therapy-for-acute-mi-best-practice-or-harmful-treatment/2/,Shock|Myocardial Ischemia|Total|Psychiatry|Arthritis|General|Cardiovascular|Induced|Cardiology|Gastroenterology|Oncology|False|Metabolic|Medicine|Heart Failure|Clinical|Neurology|Atrial Fibrillation|Resuscitation|Catheterization|Cardiac|Rheumatoid|Rheumatology|Ischemic Heart Disease|Health|Arrhythmia|Dermatology|Urology|Myocardial Infarction|Controlled|Ophthalmology|Transplantation,,0
1027,Desktop,2,162.17.102.153,fcd3d327-0ad5-425e-8ea8-33ffe6a31543,Palm Beach Gardens,33418,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36",Online Medical Journal,Website,https://www.renalandurologynews.com/home/departments/mens-health-update/hypogonadism/study-testosterone-replacement-does-not-increase-dvt-risk/,Premature|Chronic|Reproductive|Gastroenterology|Neurology|Ophthalmology|Urology|Transplantation|Clinical|Diagnosis|Total|Oncology|Anemia|General|Cardiology|Psychiatry|Rheumatology|Medicine|Dermatology|Cardiovascular|False|Trauma|Nephritis|Health,,0
1028,Desktop,7,23.28.53.188,c7d9dfae-3fa3-413e-ab54-abe2e82240fc,Westland,48186,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36",Online Medical Journal,Website,https://www.cureus.com/articles/128403-a-case-of-panic-attacks-developing-after-10-years-of-chronic-cannabis-use-in-a-patient-with-no-prior-psychiatric-history,small|refractory|nephrology|radiology|preventive medicine|critical care|internal medicine|oncology|forensic medicine|general|specialties|inflammation|induced|trauma|pain|disease|health|dyspnea|pain management|acos|cardiology|preventive|nausea|the|anxiety|clinical|hematology|proton therapy|dermatology|sinus|transplantation|pediatrics|urology|headache|diabetes|cardiac|surgery|,,0
1029,Desktop,2,167.177.39.9,11ac2405-494b-4356-a49c-59e099680e22,Minneapolis,55407,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36 Edg/108.0.1462.46",Online Medical Journal,Website,https://www.empr.com/therapeutic-category/hyperacidity-gerd-and-ulcers/?type=chart,covid|pain|disease|health|covid-19|pain management|oncology|cardiology|the|allergic|rash|clinical|hematology|dermatology|pediatrics|urology|child|,,0
